Date,Open,High,Low,Close,Adj Close,Volume
2024-05-17,1.700000,1.765000,1.680000,1.720000,1.720000,8945800
2024-05-20,1.750000,1.900000,1.710000,1.730000,1.730000,9640500
2024-05-21,1.690000,1.710000,1.580000,1.600000,1.600000,11068600
2024-05-22,1.610000,1.665000,1.580000,1.595000,1.595000,5004800
2024-05-23,1.580000,1.590000,1.510000,1.520000,1.520000,6639100
2024-05-24,1.530000,1.590000,1.510000,1.590000,1.590000,4032900
2024-05-28,1.630000,1.740000,1.610000,1.640000,1.640000,7220000
2024-05-29,1.590000,1.660000,1.560000,1.640000,1.640000,4990700
2024-05-30,1.630000,1.750000,1.630000,1.730000,1.730000,8438500
2024-05-31,1.740000,1.760000,1.550000,1.640000,1.640000,7016400
2024-06-03,1.660000,1.680000,1.580000,1.590000,1.590000,4204000
2024-06-04,1.590000,1.590000,1.450000,1.465000,1.465000,7203300
2024-06-05,1.500000,1.570000,1.460000,1.560000,1.560000,4449200
2024-06-06,1.530000,1.560000,1.420000,1.450000,1.450000,6693800
2024-06-07,1.410000,1.459000,1.380000,1.430000,1.430000,5903700
2024-06-10,1.380000,1.445000,1.380000,1.420000,1.420000,4236700
2024-06-11,1.390000,1.460000,1.360000,1.440000,1.440000,5807800
2024-06-12,1.510000,1.550000,1.424000,1.450000,1.450000,6357100
2024-06-13,1.440000,1.460000,1.370000,1.390000,1.390000,4852500
2024-06-14,1.390000,1.440000,1.380000,1.430000,1.430000,3987500
2024-06-17,1.400000,1.510000,1.400000,1.470000,1.470000,4535000
2024-06-18,1.480000,1.510000,1.400000,1.440000,1.440000,5397000
2024-06-20,1.440000,1.440000,1.360000,1.390000,1.390000,7514600
2024-06-21,1.370000,1.420000,1.350000,1.410000,1.410000,10737900
2024-06-24,1.400000,1.440000,1.310000,1.355000,1.355000,6543200
2024-06-25,1.350000,1.355000,1.290000,1.340000,1.340000,5091600
2024-06-26,1.310000,1.600000,1.310000,1.580000,1.580000,11415800
2024-06-27,1.540000,1.630000,1.520000,1.630000,1.630000,7173700
2024-06-28,1.630000,1.655000,1.490000,1.490000,1.490000,13226700
2024-07-01,1.520000,1.520000,1.400000,1.410000,1.410000,4035400
2024-07-02,1.420000,1.460000,1.400000,1.400000,1.400000,2925300
2024-07-03,1.450000,1.560000,1.450000,1.460000,1.460000,4309200
2024-07-05,1.470000,1.530000,1.440000,1.520000,1.520000,3872200
2024-07-08,1.560000,1.620000,1.520000,1.545000,1.545000,6970900
2024-07-09,1.570000,1.590000,1.510000,1.530000,1.530000,4080700
2024-07-10,1.530000,1.760000,1.530000,1.680000,1.680000,9117000
2024-07-11,1.710000,1.780000,1.690000,1.740000,1.740000,8340700
2024-07-12,1.740000,1.920000,1.730000,1.915000,1.915000,11340300
2024-07-15,1.960000,1.980000,1.870000,1.965000,1.965000,9489500
2024-07-16,1.970000,2.180000,1.940000,2.150000,2.150000,10374800
2024-07-17,2.050000,2.130000,1.760000,1.870000,1.870000,14106100
2024-07-18,1.900000,1.990000,1.820000,1.825000,1.825000,5937500
2024-07-19,1.800000,1.805000,1.665000,1.670000,1.670000,5201800
2024-07-22,1.690000,1.810000,1.690000,1.790000,1.790000,5975400
2024-07-23,1.780000,1.820000,1.720000,1.730000,1.730000,4246700
2024-07-24,1.690000,1.740000,1.620000,1.620000,1.620000,5860300
2024-07-25,1.630000,1.760000,1.620000,1.670000,1.670000,5883000
2024-07-26,1.700000,1.740000,1.640000,1.690000,1.690000,4859900
2024-07-29,1.700000,1.740000,1.580000,1.610000,1.610000,5760500
2024-07-30,1.620000,1.680000,1.610000,1.670000,1.670000,3658100
2024-07-31,1.690000,1.780000,1.650000,1.660000,1.660000,7804600
2024-08-01,1.680000,1.690000,1.490000,1.510000,1.510000,6866600
2024-08-02,1.460000,1.495000,1.430000,1.440000,1.440000,4382300
2024-08-05,1.330000,1.400000,1.270000,1.340000,1.340000,8442900
2024-08-06,1.450000,1.460000,1.390000,1.405000,1.405000,6820600
2024-08-07,1.110000,1.140000,0.840000,0.880000,0.880000,62389400
2024-08-08,0.919000,0.950000,0.880000,0.931000,0.931000,56842300
2024-08-09,0.959000,1.090000,0.889000,0.902000,0.902000,27810400
2024-08-12,0.919000,0.929000,0.791000,0.915000,0.915000,29580400
2024-08-13,0.907000,0.980000,0.880000,0.975000,0.975000,23658300
2024-08-14,0.977000,1.010000,0.893000,0.930000,0.930000,15391000
2024-08-15,0.936000,0.999000,0.933000,0.941000,0.941000,18565400
2024-08-16,0.950000,1.080000,0.950000,1.020000,1.020000,19092900
